Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2025-08-25,28.527383,-81.399073,Orlando,Florida,Flickering streetlamp coincided with sighting.,Afternoon,White Lady,
2023-05-16,38.622478,-90.139638,St. Louis,Missouri,Local dog barking frantically before sighting.,Morning,Headless Spirit,
2025-02-13,41.915965,-87.9157,Chicago,Illinois,Witness captured blurry image on phone.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-01-14,30.339308,-89.318954,Gulfport,Mississippi,Local dog barking frantically before sighting.,Evening,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
2023-06-25,29.519552,-98.449552,San Antonio,Texas,Figure disappeared upon approach.,Dawn,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2022-04-28,41.322712,-95.89067,Omaha,Nebraska,Phantom footsteps heard in empty hallway.,Morning,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2023-08-06,39.594562,-83.283171,Columbus,Ohio,Apparition matched description of local legend.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2025-02-02,44.543446,-92.976997,Minneapolis,Minnesota,Scent of old perfume noticed with no source.,Dawn,Headless Spirit,
2023-03-15,33.484335,-87.032203,Birmingham,Alabama,Curtains moved though windows were shut.,Afternoon,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2023-12-24,38.392616,-89.977743,St. Louis,Missouri,Figure disappeared upon approach.,Evening,Headless Spirit,
2025-03-22,41.459802,-81.820196,Cleveland,Ohio,Scent of old perfume noticed with no source.,Morning,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2022-08-12,44.943056,-93.961551,Minneapolis,Minnesota,Witness reported cold spots and flickering lights.,Midnight,White Lady,
2022-01-01,29.942007,-95.167756,Houston,Texas,Old radio emitted static and a faint melody.,Night,Phantom Sounds,
2023-10-05,32.418428,-90.213276,Jackson,Mississippi,Apparition seen floating near old church grounds.,Midnight,White Lady,
2023-10-08,39.247727,-86.081976,Indianapolis,Indiana,Scent of old perfume noticed with no source.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2020-12-29,40.401462,-89.782584,Peoria,Illinois,Local dog barking frantically before sighting.,Midnight,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2021-01-30,30.88053,-97.624884,Austin,Texas,Electronic devices malfunctioned during sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2023-10-07,39.815897,-86.949009,Indianapolis,Indiana,Witness reported cold spots and flickering lights.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2022-03-08,40.572213,-89.473884,Peoria,Illinois,Witness reported cold spots and flickering lights.,Morning,Headless Spirit,
2023-08-29,29.616312,-95.278324,Houston,Texas,Disembodied voice whispered a name.,Dawn,Full-Body Apparition,
2024-11-10,28.077363,-81.741706,Orlando,Florida,Phantom footsteps heard in empty hallway.,Midnight,Shadow Figure,
2022-04-30,30.0899,-97.666432,Austin,Texas,Witness captured blurry image on phone.,Night,Full-Body Apparition,
2024-02-22,39.984731,-85.913663,Indianapolis,Indiana,Temperature dropped suddenly by 10°F.,Dawn,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-05-16,41.188036,-95.697634,Omaha,Nebraska,Witness reported cold spots and flickering lights.,Morning,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2024-02-10,39.97786,-83.197401,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Morning,Shadow Figure,
2021-10-14,29.839725,-95.188511,Houston,Texas,Glowing orb photographed in backyard.,Midnight,White Lady,
2025-06-30,26.084013,-80.017657,Miami,Florida,Figure disappeared upon approach.,Morning,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2021-10-02,32.089756,-90.3123,Jackson,Mississippi,Temperature dropped suddenly by 10°F.,Night,Full-Body Apparition,
2022-04-08,40.747686,-89.604381,Peoria,Illinois,Witness captured blurry image on phone.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2022-10-17,41.883143,-87.468617,Chicago,Illinois,Apparition seen floating near old church grounds.,Night,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2025-04-21,40.016834,-82.596766,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2021-08-27,29.829756,-95.423421,Houston,Texas,Scent of old perfume noticed with no source.,Dawn,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2022-05-10,40.729775,-89.526324,Peoria,Illinois,Phantom footsteps heard in empty hallway.,Dawn,Shadow Figure,
2021-06-21,39.315777,-86.136323,Indianapolis,Indiana,Apparition matched description of local legend.,Night,Headless Spirit,
2023-12-03,31.804727,-90.91903,Jackson,Mississippi,Scent of old perfume noticed with no source.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2021-04-08,40.56874,-89.556427,Peoria,Illinois,Disembodied voice whispered a name.,Midnight,Shadow Figure,
2025-05-31,38.590395,-90.081936,St. Louis,Missouri,Flickering streetlamp coincided with sighting.,Evening,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2023-02-20,29.343724,-98.574964,San Antonio,Texas,Apparition matched description of local legend.,Midnight,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2022-01-29,29.795078,-90.012659,New Orleans,Louisiana,Glowing orb photographed in backyard.,Evening,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2021-03-09,41.351631,-95.968928,Omaha,Nebraska,Curtains moved though windows were shut.,Evening,Headless Spirit,
2023-04-12,41.97346,-87.387692,Chicago,Illinois,Witness captured blurry image on phone.,Midnight,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2023-06-10,32.67421,-96.671767,Dallas,Texas,Old radio emitted static and a faint melody.,Evening,Headless Spirit,
2025-03-15,32.716677,-96.89184,Dallas,Texas,Local dog barking frantically before sighting.,Dawn,Orbs,
2022-05-09,40.37706,-83.73032,Columbus,Ohio,Scent of old perfume noticed with no source.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2022-01-20,42.036216,-87.368358,Chicago,Illinois,Electronic devices malfunctioned during sighting.,Dawn,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2023-08-15,40.90881,-89.705523,Peoria,Illinois,Temperature dropped suddenly by 10°F.,Evening,Phantom Sounds,
2021-11-21,40.904398,-90.102651,Peoria,Illinois,Curtains moved though windows were shut.,Midnight,Shadow Figure,
2024-01-01,29.389586,-98.495715,San Antonio,Texas,Phantom footsteps heard in empty hallway.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2024-11-11,30.663945,-88.191706,Gulfport,Mississippi,Apparition seen floating near old church grounds.,Evening,Phantom Sounds,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2020-10-11,28.605414,-81.95832,Orlando,Florida,Local dog barking frantically before sighting.,Morning,Headless Spirit,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2024-10-27,38.805636,-89.952662,St. Louis,Missouri,Phantom footsteps heard in empty hallway.,Dawn,Phantom Sounds,
2023-09-09,32.771851,-96.828505,Dallas,Texas,Temperature dropped suddenly by 10°F.,Dawn,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2023-03-20,33.954434,-117.714677,Los Angeles,California,Glowing orb photographed in backyard.,Midnight,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2021-12-05,40.058648,-83.086405,Columbus,Ohio,Apparition matched description of local legend.,Night,Orbs,
2024-10-28,28.350663,-81.383101,Orlando,Florida,Scent of old perfume noticed with no source.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2023-08-26,32.97195,-96.718014,Dallas,Texas,Local dog barking frantically before sighting.,Morning,Headless Spirit,
2024-03-15,25.728287,-80.026132,Miami,Florida,Witness captured blurry image on phone.,Midnight,Poltergeist,
2023-03-16,25.821956,-80.215219,Miami,Florida,Curtains moved though windows were shut.,Evening,Shadow Figure,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2025-04-10,42.906776,-87.90878,Milwaukee,Wisconsin,Flickering streetlamp coincided with sighting.,Afternoon,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2021-04-18,40.030573,-83.143063,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2021-10-11,39.92846,-83.12,Columbus,Ohio,Witness captured blurry image on phone.,Night,White Lady,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2024-11-22,41.940446,-87.619754,Chicago,Illinois,Local dog barking frantically before sighting.,Dawn,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2025-01-18,29.771265,-95.445218,Houston,Texas,Witness reported cold spots and flickering lights.,Afternoon,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2022-12-06,29.297811,-98.453556,San Antonio,Texas,Apparition matched description of local legend.,Midnight,Shadow Figure,
2023-04-29,29.431719,-98.321061,San Antonio,Texas,Witness reported cold spots and flickering lights.,Midnight,Full-Body Apparition,
2022-10-18,41.602013,-81.364405,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Morning,White Lady,
2023-02-05,29.50689,-95.473181,Houston,Texas,Witness reported cold spots and flickering lights.,Dawn,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2025-05-09,36.167045,-115.349565,Las Vegas,Nevada,Flickering streetlamp coincided with sighting.,Afternoon,Headless Spirit,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2023-11-14,29.44388,-98.660676,San Antonio,Texas,Phantom footsteps heard in empty hallway.,Morning,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2023-02-16,29.973412,-94.887556,Houston,Texas,Electronic devices malfunctioned during sighting.,Night,Headless Spirit,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2023-03-02,39.91219,-86.079784,Indianapolis,Indiana,Witness reported cold spots and flickering lights.,Evening,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2023-12-29,41.937208,-87.699091,Chicago,Illinois,Local dog barking frantically before sighting.,Night,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2024-02-17,30.013533,-95.301496,Houston,Texas,Flickering streetlamp coincided with sighting.,Morning,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2020-09-29,29.546559,-98.353929,San Antonio,Texas,Figure disappeared upon approach.,Dawn,Orbs,
2021-11-07,33.457103,-86.692598,Birmingham,Alabama,Witness captured blurry image on phone.,Evening,Phantom Sounds,
2022-05-10,29.755158,-95.411446,Houston,Texas,Scent of old perfume noticed with no source.,Afternoon,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2024-01-06,40.077281,-82.915456,Columbus,Ohio,Witness captured blurry image on phone.,Midnight,Headless Spirit,
2021-08-28,44.701643,-93.121417,Minneapolis,Minnesota,Scent of old perfume noticed with no source.,Evening,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2025-05-30,39.748413,-75.485,Philadelphia,Pennsylvania,Apparition seen floating near old church grounds.,Dawn,Headless Spirit,
2025-07-23,43.167543,-88.435771,Milwaukee,Wisconsin,Phantom footsteps heard in empty hallway.,Midnight,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2022-02-11,28.584679,-81.325585,Orlando,Florida,Flickering streetlamp coincided with sighting.,Evening,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2023-08-27,30.260127,-89.18936,Gulfport,Mississippi,Flickering streetlamp coincided with sighting.,Night,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
2022-02-02,41.788882,-87.652237,Chicago,Illinois,Disembodied voice whispered a name.,Afternoon,Shadow Figure,
2022-08-01,41.788974,-87.629081,Chicago,Illinois,Apparition seen floating near old church grounds.,Evening,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2021-11-03,41.554029,-81.371584,Cleveland,Ohio,Curtains moved though windows were shut.,Night,Poltergeist,
2023-03-28,40.509507,-89.513541,Peoria,Illinois,Apparition seen floating near old church grounds.,Dawn,Phantom Sounds,
2022-09-10,36.112989,-115.039391,Las Vegas,Nevada,Disembodied voice whispered a name.,Evening,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2021-04-13,40.11407,-86.37903,Indianapolis,Indiana,Flickering streetlamp coincided with sighting.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2022-12-18,40.7109,-89.673306,Peoria,Illinois,Witness reported cold spots and flickering lights.,Evening,White Lady,
2022-04-20,29.835899,-95.617893,Houston,Texas,Curtains moved though windows were shut.,Morning,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2021-06-02,39.897043,-83.421268,Columbus,Ohio,Figure disappeared upon approach.,Midnight,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2021-12-02,40.570263,-89.791624,Peoria,Illinois,Local dog barking frantically before sighting.,Evening,Poltergeist,
2025-01-03,33.409241,-86.968542,Birmingham,Alabama,Figure disappeared upon approach.,Midnight,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2024-10-28,41.801878,-87.641494,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Dawn,Poltergeist,
2024-04-29,39.039888,-90.609751,St. Louis,Missouri,Glowing orb photographed in backyard.,Dawn,White Lady,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2022-11-30,39.852449,-82.587134,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2022-05-04,30.427309,-88.964209,Gulfport,Mississippi,Flickering streetlamp coincided with sighting.,Midnight,Shadow Figure,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2021-05-29,25.953197,-80.072769,Miami,Florida,Apparition matched description of local legend.,Evening,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2022-12-10,39.434379,-85.906914,Indianapolis,Indiana,Curtains moved though windows were shut.,Dawn,White Lady,
2021-11-22,39.637429,-82.95336,Columbus,Ohio,Figure disappeared upon approach.,Evening,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2023-02-16,41.929084,-87.524724,Chicago,Illinois,Glowing orb photographed in backyard.,Evening,White Lady,
2023-10-18,40.354398,-88.627585,Peoria,Illinois,Figure disappeared upon approach.,Afternoon,Phantom Sounds,
2025-01-17,41.744752,-93.458661,Des Moines,Iowa,Disembodied voice whispered a name.,Night,Poltergeist,
2022-04-13,40.671425,-89.47572,Peoria,Illinois,Figure disappeared upon approach.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2024-09-01,30.958763,-88.175299,Mobile,Alabama,Old radio emitted static and a faint melody.,Afternoon,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2025-08-08,39.797828,-75.163627,Philadelphia,Pennsylvania,Apparition seen floating near old church grounds.,Night,White Lady,
2025-06-13,37.705461,-97.226422,Wichita,Kansas,Disembodied voice whispered a name.,Night,White Lady,
2025-09-08,33.414873,-87.045457,Birmingham,Alabama,Scent of old perfume noticed with no source.,Morning,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2023-09-06,40.650482,-89.988727,Peoria,Illinois,Witness reported cold spots and flickering lights.,Night,Shadow Figure,
2023-07-26,29.712107,-95.304685,Houston,Texas,Local dog barking frantically before sighting.,Night,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2025-03-10,29.70283,-95.511651,Houston,Texas,Figure disappeared upon approach.,Evening,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2024-08-13,36.590232,-115.349943,Las Vegas,Nevada,Apparition matched description of local legend.,Midnight,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2021-03-23,29.898627,-95.330073,Houston,Texas,Witness captured blurry image on phone.,Midnight,Orbs,
2023-12-12,41.093039,-88.953965,Peoria,Illinois,Phantom footsteps heard in empty hallway.,Night,White Lady,
2022-11-16,29.772823,-90.208934,New Orleans,Louisiana,Local dog barking frantically before sighting.,Night,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2021-12-15,29.829739,-95.55202,Houston,Texas,Apparition seen floating near old church grounds.,Night,White Lady,
2022-05-21,40.22547,-83.356388,Columbus,Ohio,Witness captured blurry image on phone.,Evening,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2022-06-17,28.156604,-81.609719,Orlando,Florida,Witness captured blurry image on phone.,Afternoon,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2021-02-15,29.464808,-98.793482,San Antonio,Texas,Temperature dropped suddenly by 10°F.,Afternoon,Shadow Figure,
2023-12-22,29.801144,-95.331025,Houston,Texas,Figure disappeared upon approach.,Afternoon,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2023-02-02,30.019456,-97.746379,Austin,Texas,Scent of old perfume noticed with no source.,Dawn,Headless Spirit,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-01-07,41.763313,-87.647981,Chicago,Illinois,Witness captured blurry image on phone.,Midnight,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
